address,lat,lng,matched_address,updated_at
嘉義縣朴子市文化南路69號,23.461837,120.241348,嘉義縣朴子市竹圍里11鄰文化南路69號,2026-09-13
嘉義縣朴子市文明路1之9號,23.464302,120.249637,嘉義縣朴子市安福里23鄰文明路1號之9,2026-09-13
嘉義縣朴子市新庄里新庄32號,23.423317,120.266438,嘉義縣朴子市新庄里3鄰新庄32號,2026-09-13
嘉義縣朴子市朴子三路6號,23.456598,120.288640,嘉義縣朴子市大葛里24鄰朴子三路6號,2026-09-13
嘉義縣朴子市海通路2之46號,23.464887,120.248561,嘉義縣朴子市平和里18鄰海通路2之46號,2026-09-13
嘉義縣朴子市竹圍里四維路2段78號,23.458746,120.241181,嘉義縣朴子市竹圍里14鄰四維路二段78號,2026-09-13
嘉義縣朴子市竹圍里文化南路69號,23.461837,120.241348,嘉義縣朴子市竹圍里11鄰文化南路69號,2026-09-13
嘉義縣朴子市開元里六鄰開元路118號,23.467826,120.245246,嘉義縣朴子市開元里6鄰開元路118號,2026-09-13
嘉義縣梅山鄉健康街91號,23.585753,120.560574,嘉義縣梅山鄉梅北村2鄰健康街91號,2026-09-13
嘉義縣梅山鄉梅東村中學路13號,23.572148,120.560438,嘉義縣梅山鄉梅東村3鄰中學路32號附6,2026-09-13
嘉義縣梅山鄉民生街1號,23.587213,120.551781,嘉義縣梅山鄉梅北村21鄰民生街1號,2026-09-13
嘉義縣梅山鄉環南路36號,23.578598,120.558279,嘉義縣梅山鄉梅南村1鄰環南路36號,2026-09-13
嘉義縣梅山鄉華山路160號,23.590238,120.555332,嘉義縣梅山鄉梅北村26鄰華山路160號,2026-09-13
嘉義縣民雄鄉中正大學共同教室大樓一樓R115教室,23.562521,120.474549,嘉義縣民雄鄉三興村7鄰大學路一段168號,2026-09-13
嘉義縣民雄鄉北斗村北勢子19號,23.533567,120.456681,嘉義縣民雄鄉北斗村3鄰北勢子19號,2026-09-13
嘉義縣民雄鄉北斗村正大路1段899號,23.533619,120.462999,嘉義縣民雄鄉北斗村16鄰正大路二段1626號,2026-09-13
嘉義縣民雄鄉大學路2段2183號,23.559910,120.445382,嘉義縣民雄鄉豊收村16鄰大學路二段2183號,2026-09-13
嘉義縣民雄鄉建國路1段95巷50號,23.556826,120.432492,嘉義縣民雄鄉東榮村19鄰建國路一段95巷50號,2026-09-13
嘉義縣民雄鄉建國路2段187之24號,23.539832,120.432258,嘉義縣民雄鄉文隆村17鄰建國路二段187號之24,2026-09-13
嘉義縣民雄鄉建國路2段265號,23.543373,120.432050,嘉義縣民雄鄉文隆村17鄰建國路二段265號,2026-09-13
嘉義縣民雄鄉新生一街1號,23.526387,120.448695,嘉義縣民雄鄉福樂村38鄰新生一街1號,2026-09-13
嘉義縣民雄鄉東勢湖174號,23.550380,120.440610,嘉義縣民雄鄉東湖村7鄰東勢湖174號,2026-09-13
嘉義縣民雄鄉東湖村174號,23.550380,120.440610,嘉義縣民雄鄉東湖村7鄰東勢湖174號,2026-09-13
嘉義縣民雄鄉民族路43號,23.555138,120.429436,嘉義縣民雄鄉中樂村24鄰民族路43號,2026-09-13
嘉義縣民雄鄉西安村14鄰西安路112之3號,23.558827,120.421579,嘉義縣民雄鄉西安村14鄰西安路112之3號,2026-09-13
嘉義縣民雄鄉西安路147號,23.557467,120.420724,嘉義縣民雄鄉西安村22鄰西安路147號,2026-09-13
嘉義縣水上鄉中和路233號,23.429994,120.398568,嘉義縣水上鄉水上村5鄰中和路233號,2026-09-13
