tgos_id,key,address,raw,county,source,method,count,courses
1607,基隆市信義區仁一路7巷61號,基隆市信義區仁一路7巷61號,基隆市信義區仁一路7巷61號,基隆市,moe-cc-sites,門牌,1,0
1608,基隆市信義區仁壽里信二路249號,基隆市信義區仁壽里信二路249號,基隆市信義區仁壽里信二路249號,基隆市,moe-senior-centers,門牌,1,0
1609,基隆市北寧路396巷52號,基隆市北寧路396巷52號,基隆市北寧路396巷52號,基隆市,moe-cc-sites,門牌,1,0
1610,基市安樂路2段183號,基隆市基市安樂路2段183號,基市安樂路二段183號之五6樓,基隆市,moe-cc-sites,門牌,1,0
1611,基隆市基金一路41號,基隆市基金一路41號,基隆市基金一路41號,基隆市,moe-cc-sites,門牌,1,0
1612,基隆市基金二路3巷1號,基隆市基金二路3巷1號,基隆市基金二路3巷1號,基隆市,moe-cc-sites,門牌,1,0
1613,基隆市基金二路3巷3號,基隆市基金二路3巷3號,基隆市基金二路3巷3號,基隆市,moe-cc-sites,門牌,1,0
1614,基龍是東新街3號,基隆市基龍是東新街3號,基 龍是東新街3號,基隆市,moe-cc-sites,門牌,1,0
1615,基隆市安樂區2段164號,基隆市安樂區2段164號,基隆市安樂區二段164號9樓,基隆市,moe-cc-sites,門牌,1,0
1616,基隆市安樂區崇德路12巷2號,基隆市安樂區崇德路12巷2號,基隆市安樂區崇德路12巷2號1樓,基隆市,moe-senior-centers,門牌,1,0
1617,基隆市安樂路2段164號,基隆市安樂路2段164號,基隆市安樂路二段164號9樓,基隆市,moe-cc-sites,門牌,1,0
1618,基隆市安樂路2段183號,基隆市安樂路2段183號,基隆市安樂路二段183號之五6樓,基隆市,moe-cc-sites,門牌,1,0
1619,基隆市崇德路12巷2之4號,基隆市崇德路12巷2之4號,基隆市崇德路12巷2之4號,基隆市,moe-cc-sites,門牌,1,0
1620,基隆市復興路206號,基隆市復興路206號,基隆市復興路206號1樓,基隆市,moe-cc-sites,門牌,1,0
1621,基隆市忠二路29號,基隆市忠二路29號,基隆市忠二路29號5樓,基隆市,moe-cc-sites,門牌,1,0
1621,基隆市忠二路29號,基隆市忠二路29號,基隆市忠二路29號樓,基隆市,moe-cc-sites,門牌,1,0
1622,基隆市愛三路118號,基隆市愛三路118號,基隆市愛三路118號12樓,基隆市,moe-cc-sites,門牌,1,0
1623,基隆市愛三路87號,基隆市愛三路87號,基隆市愛三路87號6樓,基隆市,moe-cc-sites,門牌,1,0
1624,基隆市愛三路9號,基隆市愛三路9號,基隆市愛三路9號3樓,基隆市,moe-cc-sites,門牌,1,0
